wall_time,trial_time,frame,sequence_nr,type,start_stop
1502180597.5637386,160.19319199999998,11260.0,237.0,LL,True
1502180600.3077419,162.937195,11286.0,237.0,LL,False
1502180626.8947418,189.524195,11546.0,237.0,LR,True
1502180629.0837414,191.71319499999998,11568.0,237.0,LR,False
1502180629.5797415,192.209195,11573.0,237.0,LL,True
1502180634.6917446,197.321198,11622.0,237.0,LL,False
1502180645.1797402,207.809194,11725.0,237.0,LL,True
1502180646.1527438,208.782197,11734.0,237.0,LL,False
1502180647.5877433,210.21719700000003,11748.0,237.0,LR,True
1502180650.2637448,212.893199,11774.0,237.0,LR,False
1502180654.3837426,217.013196,11813.0,237.0,LR,True
1502180659.7187462,222.3482,11865.0,237.0,LR,False
1502180663.1147466,225.7442,11899.0,237.0,LR,True
1502180678.0117464,240.6412,12046.0,237.0,LR,False
1502180685.6837466,248.3132,12119.0,237.0,LR,True
1502180686.1557484,248.785202,12124.0,237.0,LR,False
1502180686.7317462,249.36119900000003,12130.0,237.0,LR,True
1502180691.3637474,253.99320099999997,12175.0,237.0,LR,False
1502180699.5957456,262.22519900000003,12257.0,237.0,LL,True
1502180704.743747,267.373201,12303.0,237.0,LL,False
1502180740.0047493,302.63420299999996,12649.0,237.0,TR,False
1502181328.2196677,0.0,12806.0,238.0,TR,True
1502181331.3906693,3.171002,12837.0,238.0,LL,True
1502181331.6596682,3.440001,12840.0,238.0,LL,False
1502181335.9156685,7.696001,12881.0,238.0,LR,True
1502181337.539669,9.320002,12897.0,238.0,LR,False
1502181349.5966716,21.377004,13015.0,238.0,LL,True
1502181353.66767,25.448003,13054.0,238.0,LL,False
1502181355.5796695,27.360002,13073.0,238.0,LL,True
1502181413.8436742,85.62400699999999,13638.0,238.0,LL,False
1502181416.3636756,88.144008,13663.0,238.0,LL,True
1502181416.7796755,88.560008,13667.0,238.0,LL,False
1502181417.9956758,89.77600799999999,13679.0,238.0,LL,True
1502181418.9526756,90.733008,13688.0,238.0,LL,False
1502181433.2036753,104.984008,13829.0,238.0,LR,True
1502181433.743676,105.52400800000001,13834.0,238.0,LR,False
1502181436.373677,108.15401000000001,13860.0,238.0,LR,True
1502181437.9496794,109.73001200000002,13876.0,238.0,LR,False
1502181438.2516785,110.03201100000001,13879.0,238.0,LR,True
1502181439.4756768,111.256009,13890.0,238.0,LR,False
1502181441.3156786,113.096011,13907.0,238.0,LR,True
1502181443.8566778,115.63701,13932.0,238.0,LR,False
1502181444.5166779,116.296012,13938.0,238.0,LR,True
1502181498.2596815,170.04001399999999,14457.0,238.0,LR,False
1502181499.073682,170.854015,14465.0,238.0,LR,True
1502181499.4516811,171.232013,14469.0,238.0,LR,False
1502181500.420683,172.20001499999998,14477.0,238.0,LR,True
1502181510.4916825,182.27201499999998,14569.0,238.0,LR,False
1502181512.5336838,184.31401599999998,14587.0,238.0,LL,True
1502181513.7406838,185.521016,14599.0,238.0,LL,False
1502181539.2756872,211.05602000000002,14844.0,238.0,LL,True
1502181540.7006845,212.48101699999998,14856.0,238.0,LL,False
1502181554.0756874,225.85602000000003,14981.0,238.0,LL,True
1502181555.4836864,227.264019,14995.0,238.0,LL,False
1502181558.6366868,230.41702,15026.0,238.0,LL,True
1502181558.7326868,230.51301899999999,15027.0,238.0,LL,False
1502181561.563686,233.344019,15054.0,238.0,LL,True
1502181595.2116892,266.992022,15372.0,238.0,LL,False
1502181598.2526946,270.033027,15402.0,238.0,LR,True
1502181599.1656914,270.946024,15411.0,238.0,LR,False
1502181600.9886892,272.769022,15429.0,238.0,LR,True
1502181601.4226894,273.20302200000003,15433.0,238.0,LR,False
1502181603.6126895,275.39302200000003,15455.0,238.0,LR,True
1502181611.8606904,283.641023,15518.0,238.0,LR,False
1502181617.2916927,289.072025,15559.0,238.0,LL,True
1502181626.244692,298.024025,15647.0,238.0,LL,False
1502181629.2446926,301.025025,15677.0,238.0,TR,False
1502182975.8612065,0.0,15894.0,239.0,TR,True
1502182984.0612073,8.200001,15975.0,239.0,LR,True
1502182984.7652068,8.904,15982.0,239.0,LR,False
